name,price,daily_interest_percentage,weekly_interest_percentage,market_cap,daily_volume
Celo,$3.37,+2.78%,+12.84%,"$1,373,437,843","$78,044,763"
Amp,$0.0312,+1.72%,+8.29%,"$1,317,529,675","$15,841,772"
Arweave,$38.80,+7.05%,+12.69%,"$1,295,742,918","$63,186,383"
Oasis Network,$0.3701,+2.57%,+18.46%,"$1,292,837,779","$142,660,919"
Nexo,$2.27,+6.02%,+16.07%,"$1,272,299,779","$8,718,573"
Waves,$11.61,+13.56%,+35.68%,"$1,247,744,875","$423,375,306"
Dash,$113.20,+1.34%,+22.19%,"$1,196,705,152","$176,325,220"
Theta Fuel,$0.2074,+0.28%,+26.47%,"$1,100,510,438","$53,414,116"
Mina,$2.88,-1.35%,+20.14%,"$1,076,687,497","$30,352,845"
NEM,$0.1185,+2.35%,+16.83%,"$1,066,508,972","$22,597,585"
Symbol,$0.1843,+1.59%,+4.98%,"$1,028,766,974","$6,295,049"
Secret,$6.86,+9.95%,+36.77%,"$1,027,995,538","$38,092,330"
IoTeX,$0.107,-2.17%,+47.97%,"$1,021,264,650","$111,763,764"
Holo,$0.005618,-0.82%,+31.12%,"$972,820,143","$74,344,452"
BORA,$1.12,-4.44%,+10.01%,"$967,183,352","$257,160,419"
Pax Dollar,$0.9973,-0.34%,-0.30%,"$943,086,485","$7,104,928"
Compound,$143.20,-1.39%,+20.47%,"$939,103,413","$62,368,031"
Decred,$68.17,+1.75%,+8.64%,"$937,480,219","$4,342,353"
yearn.finance,"$25,550.46",+1.70%,+12.17%,"$936,110,520","$96,764,125"
1inch Network,$1.92,+3.35%,+18.83%,"$900,425,528","$81,768,533"
XDC Network,$0.06413,-0.82%,+15.70%,"$789,127,694","$10,350,278"
Celsius,$3.26,+6.99%,+35.95%,"$779,073,602","$3,747,882"
Ravencoin,$0.07436,-0.53%,+14.85%,"$778,743,254","$28,235,635"
OMG Network,$5.33,+1.21%,+16.00%,"$747,356,641","$225,267,089"
Qtum,$7.49,+7.43%,+24.45%,"$741,125,363","$111,193,316"
